Link,Price,Address,Bedrooms,Bathrooms,Size,Lot
https://www.realtor.com/realestateandhomes-detail/151-Coriander-Ave_Morgan-Hill_CA_95037_M17448-57815,"$1,790,000 ","151 Coriander Ave, Morgan Hill, CA 95037",5bed,3.5bath,"3,342sqft",0.33acre lot
https://www.realtor.com/realestateandhomes-detail/4667-Country-Hills-Dr_Antioch_CA_94531_M23182-16017,"$599,888 ","4667 Country Hills Dr, Antioch, CA 94531",4bed,2.5bath,"1,838sqft","9,572sqft lot"
https://www.realtor.com/realestateandhomes-detail/4667-Country-Hills-Dr_Antioch_CA_94531_M23182-16017,"$599,888 ","4667 Country Hills Dr, Antioch, CA 94531",4bed,2.5bath,"1,838sqft","9,572sqft lot"
https://www.realtor.com/realestateandhomes-detail/26358-Bramble-Wood-Cir_Menifee_CA_92584_M12603-19886,"$639,900 ","26358 Bramble Wood Cir, Menifee, CA 92584",4bed,2bath,"2,008sqft","6,534sqft lot"
https://www.realtor.com/realestateandhomes-detail/2664-Southern-Pl_Woodland_CA_95776_M99720-09932,"$738,000 ","2664 Southern Pl, Woodland, CA 95776",5bed,3bath,"2,874sqft","6,007sqft lot"
https://www.realtor.com/realestateandhomes-detail/1295-S-Cawston-Ave-Spc-114_Hemet_CA_92545_M91354-41273,"$83,000 ","1295 S Cawston Ave Spc 114, Hemet, CA 92545",1bed,1bath,"2,874sqft","6,007sqft lot"
https://www.realtor.com/realestateandhomes-detail/172-W-3rd-St_Santa-Rosa_CA_95401_M29601-29426,"$805,000 ","172 W 3rd St, Santa Rosa, CA 95401",3bed,2bath,"1,699sqft","6,251sqft lot"
https://www.realtor.com/realestateandhomes-detail/34878-Heartland-Ln_Murrieta_CA_92563_M26347-21104,"$850,000 ","34878 Heartland Ln, Murrieta, CA 92563",5bed,4bath,"3,571sqft","8,276sqft lot"
https://www.realtor.com/realestateandhomes-detail/5414-Newcastle-Ave-Apt-26_Encino_CA_91316_M19031-04353,"$425,000 ","5414 Newcastle Ave Apt 26, Encino, CA 91316",3bed,2bath,"1,144sqft",1.4acre lot
https://www.realtor.com/realestateandhomes-detail/40912-La-Costa-Cir-E_Palm-Desert_CA_92211_M17637-07015,"$353,000 ","40912 LA Costa Cir E, Palm Desert, CA 92211",2bed,2bath,"1,177sqft","2,614sqft lot"
https://www.realtor.com/realestateandhomes-detail/7-Velasco-Ct_Novato_CA_94949_M27821-56548,"$775,000 ","7 Velasco Ct, Novato, CA 94949",3bed,1.5bath,"1,480sqft","1,498sqft lot"
https://www.realtor.com/realestateandhomes-detail/7-Velasco-Ct_Novato_CA_94949_M27821-56548,"$775,000 ","7 Velasco Ct, Novato, CA 94949",3bed,1.5bath,"1,480sqft","1,498sqft lot"
https://www.realtor.com/realestateandhomes-detail/4280-Estrada-Dr_Riverside_CA_92509_M29202-97881,"$525,000 ","4280 Estrada Dr, Jurupa Valley, CA 92509",3bed,2bath,"1,490sqft","8,276sqft lot"
https://www.realtor.com/realestateandhomes-detail/208-E-Plymouth-St-13_Inglewood_CA_90302_M23820-91674,"$520,000 ","208 E Plymouth St Unit 13, Inglewood, CA 90302",3bed,2bath,"1,158sqft",0.86acre lot
https://www.realtor.com/realestateandhomes-detail/18938-Wells-Dr_Tarzana_CA_91356_M20368-18255,"$4,450,000 ","18938 Wells Dr, Tarzana, CA 91356",5bed,7bath,"5,800sqft",0.42acre lot
https://www.realtor.com/realestateandhomes-detail/35825-Ivy-Ave_Yucaipa_CA_92399_M24795-92771,"$725,000 ","35825 Ivy Ave, Yucaipa, CA 92399",3bed,2bath,"1,695sqft",0.94acre lot
https://www.realtor.com/realestateandhomes-detail/62-Shaniko-Cmn_Fremont_CA_94539_M93613-16988,"$779,000 ","62 Shaniko Cmn, Fremont, CA 94539",3bed,2bath,"1,150sqft",0.94acre lot
https://www.realtor.com/realestateandhomes-detail/3095-Martin-Dr_Tahoe-City_CA_96145_M15763-87476,"$939,000 ","3095 Martin Dr, Tahoe City, CA 96145",3bed,2bath,"1,702sqft",0.34acre lot
https://www.realtor.com/realestateandhomes-detail/12821-Sierra-Dr-E_Truckee_CA_96161_M92182-39323,"$1,050,000 ","12821 Sierra Dr E, Truckee, CA 96161",3bed,3bath,"2,749sqft","7,405sqft lot"
https://www.realtor.com/realestateandhomes-detail/2908-W-138th-St_Gardena_CA_90249_M18179-04811,"$645,000 ","2908 W 138th St, Gardena, CA 90249",3bed,2bath,"1,312sqft","5,490sqft lot"
https://www.realtor.com/realestateandhomes-detail/2908-W-138th-St_Gardena_CA_90249_M18179-04811,"$645,000 ","2908 W 138th St, Gardena, CA 90249",3bed,2bath,"1,312sqft","5,490sqft lot"
https://www.realtor.com/realestateandhomes-detail/1640-10th-Ave-Unit-201_San-Diego_CA_92101_M20175-74050,"$597,000 ","1640 10th Ave Unit 201, San Diego, CA 92101",2bed,2bath,"1,147sqft","5,490sqft lot"
https://www.realtor.com/realestateandhomes-detail/1259-Southwood-Ln_Upland_CA_91786_M21465-87458,"$458,000 ","1259 Southwood Ln, Upland, CA 91786",2bed,2bath,"1,312sqft","1,300sqft lot"
https://www.realtor.com/realestateandhomes-detail/4550-Hawk-Way_Dublin_CA_94568_M26179-83593,"$1,548,000 ","4550 Hawk Way, Dublin, CA 94568",4bed,3bath,"2,300sqft","4,030sqft lot"
https://www.realtor.com/realestateandhomes-detail/345-Pioneer-Dr-Unit-303_Glendale_CA_91203_M24097-75105,"$610,000 ","345 Pioneer Dr Unit 303, Glendale, CA 91203",2bed,1.5bath,"1,279sqft",2.01acre lot
https://www.realtor.com/realestateandhomes-detail/868-Gladiola-Dr_Sunnyvale_CA_94086_M27696-06302,"$1,888,800 ","868 Gladiola Dr, Sunnyvale, CA 94086",3bed,2bath,"1,736sqft","6,783sqft lot"
https://www.realtor.com/realestateandhomes-detail/10537-Sherrill-St_Anaheim_CA_92804_M14265-34550,"$1,962,000 ","10537 Sherrill St, Anaheim, CA 92804",9bed,5bath,"5,382sqft",0.29acre lot
https://www.realtor.com/realestateandhomes-detail/18847-Covello-St_Reseda_CA_91335_M19337-52031,"$799,900 ","18847 Covello St, Reseda, CA 91335",4bed,3bath,"2,093sqft","6,378sqft lot"
https://www.realtor.com/realestateandhomes-detail/997-Crestview-Dr_San-Carlos_CA_94070_M25893-69709,"$2,999,000 ","997 Crestview Dr, San Carlos, CA 94070",4bed,2.5bath,"3,580sqft","9,990sqft lot"
https://www.realtor.com/realestateandhomes-detail/997-Crestview-Dr_San-Carlos_CA_94070_M25893-69709,"$2,999,000 ","997 Crestview Dr, San Carlos, CA 94070",4bed,2.5bath,"3,580sqft","9,990sqft lot"
https://www.realtor.com/realestateandhomes-detail/10101-Gaynor-Ave_North-Hills_CA_91343_M12917-66564,"$784,999 ","10101 Gaynor Ave, Granada Hills, CA 91343",4bed,2bath,"1,774sqft","8,083sqft lot"
https://www.realtor.com/realestateandhomes-detail/28729-Conejo-View-Dr_Agoura-Hills_CA_91301_M19851-53138,"$495,000 ","28729 Conejo View Dr, Agoura Hills, CA 91301",2bed,2bath,981sqft,4.67acre lot
https://www.realtor.com/realestateandhomes-detail/5130-W-141st-St_Hawthorne_CA_90250_M28808-67182,"$759,000 ","5130 W 141st St, Hawthorne, CA 90250",2bed,1bath,807sqft,"5,802sqft lot"
https://www.realtor.com/realestateandhomes-detail/313-California-St-Unit-C_Arcadia_CA_91006_M29516-85068,"$749,000 ","313 California St Unit C, Arcadia, CA 91006",3bed,2.5bath,"1,396sqft",0.81acre lot
https://www.realtor.com/realestateandhomes-detail/2250-Via-Maderos_Los-Altos_CA_94024_M21366-58790,"$3,598,000 ","2250 Via Maderos, Los Altos, CA 94024",4bed,2.5bath,"2,468sqft",0.39acre lot
https://www.realtor.com/realestateandhomes-detail/27632-Deerfield-Ln_Valencia_CA_91354_M10233-13629,"$800,000 ","27632 Deerfield Ln, Valencia, CA 91354",3bed,3bath,"1,724sqft","5,366sqft lot"
https://www.realtor.com/realestateandhomes-detail/12745-N-Watt-Ln-Unit-A_Sylmar_CA_91342_M94490-79019,"$630,000 ","12745 N Watt Ln Unit A, Sylmar, CA 91342",5bed,4bath,"1,920sqft","5,366sqft lot"
https://www.realtor.com/realestateandhomes-detail/12745-N-Watt-Ln-Unit-A_Sylmar_CA_91342_M94490-79019,"$630,000 ","12745 N Watt Ln Unit A, Sylmar, CA 91342",5bed,4bath,"1,920sqft","5,366sqft lot"
https://www.realtor.com/realestateandhomes-detail/13097-Mueller-Dr-2159_Groveland_CA_95321_M95229-22817,"$310,000 ","13097 Mueller Drs Units 2 & 159, Groveland, CA 95321",3bed,1.5bath,"1,178sqft",0.45acre lot
https://www.realtor.com/realestateandhomes-detail/16870-Elm-St_Hesperia_CA_92345_M11589-02443,"$649,000 ","16870 Elm St, Hesperia, CA 92345",4bed,3.5bath,"4,503sqft",0.82acre lot
https://www.realtor.com/realestateandhomes-detail/1069-Berne-Dr_Crestline_CA_92325_M14583-45511,"$480,000 ","1069 Berne Dr, Crestline, CA 92325",3bed,2bath,"2,050sqft",0.42acre lot
https://www.realtor.com/realestateandhomes-detail/1069-Berne-Dr_Crestline_CA_92325_M14583-45511,"$480,000 ","1069 Berne Dr, Crestline, CA 92325",3bed,2bath,"2,050sqft",0.42acre lot
https://www.realtor.com/realestateandhomes-detail/8554-Burnet-Ave-Unit-101_North-Hills_CA_91343_M21752-85413,"$579,900 ","8554 Burnet Ave Unit 101, North Hills, CA 91343",3bed,3bath,"1,537sqft",3.16acre lot
https://www.realtor.com/realestateandhomes-detail/26001-28th-St_San-Bernardino_CA_92404_M10462-32825,"$430,000 ","26001 28th St, San Bernardino, CA 92404",3bed,2bath,"1,763sqft",0.23acre lot
https://www.realtor.com/realestateandhomes-detail/519-W-Taylor-St-Spc-221_Santa-Maria_CA_93458_M19531-33867,"$149,000 ","519 W Taylor St Spc 221, Santa Maria, CA 93458",3bed,2bath,"1,536sqft",0.23acre lot
https://www.realtor.com/realestateandhomes-detail/18880-Springwood-Ln_Perris_CA_92570_M16850-09568,"$648,000 ","18880 Springwood Ln, Perris, CA 92570",4bed,2bath,"2,106sqft",0.94acre lot
https://www.realtor.com/realestateandhomes-detail/7520-Tokay-Ave_Fontana_CA_92336_M21597-98525,"$575,000 ","7520 Tokay Ave, Fontana, CA 92336",4bed,3bath,"2,230sqft","8,000sqft lot"
https://www.realtor.com/realestateandhomes-detail/11568-Bunker-Pl_Beaumont_CA_92223_M14229-09298,"$528,000 ","11568 Bunker Pl, Beaumont, CA 92223",4bed,3bath,"1,974sqft","5,227sqft lot"
https://www.realtor.com/realestateandhomes-detail/7775-Outpost-Rd_Oak-Hills_CA_92344_M11629-18789,"$1,100,000 ","7775 Outpost Rd, Oak Hills, CA 92344",4bed,3bath,"3,504sqft",2acre lot
https://www.realtor.com/realestateandhomes-detail/542-Highland-Rd_Big-Bear-Lake_CA_92315_M17597-63826,"$443,000 ","542 Highland Rd, Big Bear, CA 92315",1bed,1bath,440sqft,"7,205sqft lot"
https://www.realtor.com/realestateandhomes-detail/542-Highland-Rd_Big-Bear-Lake_CA_92315_M17597-63826,"$443,000 ","542 Highland Rd, Big Bear, CA 92315",1bed,1bath,440sqft,"7,205sqft lot"
https://www.realtor.com/realestateandhomes-detail/29189-Sparkling-Dr_Menifee_CA_92584_M28056-32655,"$495,000 ","29189 Sparkling Dr, Menifee, CA 92584",2bed,2bath,"2,316sqft","7,841sqft lot"
https://www.realtor.com/realestateandhomes-detail/338-Red-River-Rd_Palm-Desert_CA_92211_M13470-62467,"$597,000 ","338 Red River Rd, Palm Desert, CA 92211",3bed,3.5bath,"3,049sqft","4,356sqft lot"
https://www.realtor.com/realestateandhomes-detail/16796-Pasquale-Rd_Nevada-City_CA_95959_M95276-79844,"$149,000 ","16796 Pasquale Rd, Nevada City, CA 95959",3bed,2bath,"1,850sqft",0.5acre lot
https://www.realtor.com/realestateandhomes-detail/1-Ramona-Way_Mission-Hills_CA_91345_M20261-00733,"$195,000 ","1 Ramona Way, Mission Hills, CA 91345",3bed,2bath,"1,296sqft",0.5acre lot
https://www.realtor.com/realestateandhomes-detail/32920-Joshua-Ave_Acton_CA_93510_M11027-19587,"$1,249,000 ","32920 Joshua Ave, Acton, CA 93510",3bed,3bath,"2,388sqft",3.35acre lot
https://www.realtor.com/realestateandhomes-detail/32920-Joshua-Ave_Acton_CA_93510_M11027-19587,"$1,249,000 ","32920 Joshua Ave, Acton, CA 93510",3bed,3bath,"2,388sqft",3.35acre lot
https://www.realtor.com/realestateandhomes-detail/12160-Jackson-Rd_Sloughhouse_CA_95683_M11954-00199,"$480,000 ","12160 Jackson Rd, Sloughhouse, CA 95683",4bed,2.5bath,"2,214sqft",7.02acre lot
https://www.realtor.com/realestateandhomes-detail/192-S-Sun-St_Santa-Nella_CA_95322_M97145-98196,"$130,000 ","192 S Sun St, Santa Nella, CA 95322",2bed,1bath,600sqft,"3,271sqft lot"
https://www.realtor.com/realestateandhomes-detail/303-W-2nd-St_Imperial_CA_92251_M25541-91942,"$249,900 ","303 W 2nd St, Imperial, CA 92251",2bed,2bath,"1,596sqft","6,795sqft lot"
https://www.realtor.com/realestateandhomes-detail/356-W-Magnolia-St_Brawley_CA_92227_M19725-03475,"$264,900 ","356 W Magnolia St, Brawley, CA 92227",3bed,2bath,"1,120sqft","6,752sqft lot"
https://www.realtor.com/realestateandhomes-detail/5654-Cody-Dr_Ione_CA_95640_M16673-33498,"$274,900 ","5654 Cody Dr, Ione, CA 95640",4bed,2bath,"1,708sqft","4,443sqft lot"
https://www.realtor.com/realestateandhomes-detail/3709-Station-St_Sacramento_CA_95827_M11061-92656,"$419,000 ","3709 Station St, Sacramento, CA 95827",3bed,2bath,"1,143sqft","8,499sqft lot"
https://www.realtor.com/realestateandhomes-detail/10980-E-Woodbridge-Rd_Acampo_CA_95220_M95301-28490,"$2,750,000 ","10980 E Woodbridge Rd, Acampo, CA 95220",3bed,4bath,"3,493sqft",18.68acre lot
https://www.realtor.com/realestateandhomes-detail/4125-McHenry-Ave-Spc-121_Modesto_CA_95356_M93058-09448,"$70,000 ","4125 McHenry Ave Spc 121, Modesto, CA 95356",2bed,2bath,"1,120sqft","3,049sqft lot"
https://www.realtor.com/realestateandhomes-detail/4125-McHenry-Ave-Spc-121_Modesto_CA_95356_M93058-09448,"$70,000 ","4125 McHenry Ave Spc 121, Modesto, CA 95356",2bed,2bath,"1,120sqft","3,049sqft lot"
https://www.realtor.com/realestateandhomes-detail/309-N-Orange-St_Turlock_CA_95380_M17224-98618,"$289,000 ","309 N Orange St, Turlock, CA 95380",1bed,1bath,572sqft,"3,751sqft lot"
https://www.realtor.com/realestateandhomes-detail/6382-E-Morada-Ln_Stockton_CA_95212_M29625-11145,"$799,000 ","6382 E Morada Ln, Stockton, CA 95212",3bed,3bath,"2,699sqft",0.54acre lot
https://www.realtor.com/realestateandhomes-detail/3725-Whispering-Creek-Cir_Stockton_CA_95219_M20878-68103,"$395,000 ","3725 Whispering Creek Cir, Stockton, CA 95219",3bed,2bath,"1,217sqft","4,025sqft lot"
https://www.realtor.com/realestateandhomes-detail/1028-Farnham-Ave_Woodland_CA_95776_M28978-49997,"$450,000 ","1028 Farnham Ave, Woodland, CA 95776",3bed,2bath,"1,034sqft","4,356sqft lot"
https://www.realtor.com/realestateandhomes-detail/8186-Heflin-Ct_Sacramento_CA_95828_M10775-09253,"$495,000 ","8186 Heflin Ct, Sacramento, CA 95828",4bed,3bath,"1,830sqft",0.28acre lot
https://www.realtor.com/realestateandhomes-detail/3760-N-Kilroy-Rd_Turlock_CA_95382_M26971-89862,"$649,800 ","3760 N Kilroy Rd, Turlock, CA 95382",5bed,3bath,"2,845sqft","7,257sqft lot"
https://www.realtor.com/realestateandhomes-detail/1421-E-D-St_Oakdale_CA_95361_M18105-20774,"$399,500 ","1421 E D St, Oakdale, CA 95361",3bed,2bath,"1,345sqft","5,998sqft lot"
https://www.realtor.com/realestateandhomes-detail/30-E-Cherry-Creek-Rd_Cloverdale_CA_95425_M24798-43178,"$529,000 ","30 E Cherry Creek Rd, Cloverdale, CA 95425",3bed,1bath,"1,167sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/30-E-Cherry-Creek-Rd_Cloverdale_CA_95425_M24798-43178,"$529,000 ","30 E Cherry Creek Rd, Cloverdale, CA 95425",3bed,1bath,"1,167sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/5507-Squire-Wells-Way_Riverbank_CA_95367_M23419-13334,"$540,000 ","5507 Squire Wells Way, Riverbank, CA 95367",4bed,2.5bath,"1,935sqft","6,116sqft lot"
https://www.realtor.com/realestateandhomes-detail/5067-Sienna-Ln_Sacramento_CA_95835_M16725-23582,"$785,000 ","5067 Sienna Ln, Sacramento, CA 95835",4bed,3bath,"2,732sqft","7,536sqft lot"
https://www.realtor.com/realestateandhomes-detail/33522-Wildwing-Dr_Woodland_CA_95695_M11357-11166,"$749,000 ","33522 Wildwing Dr, Woodland, CA 95695",3bed,2.5bath,"2,708sqft","8,712sqft lot"
https://www.realtor.com/realestateandhomes-detail/896-Rutledge-Dr_Lodi_CA_95242_M28378-64791,"$249,000 ","896 Rutledge Dr, Lodi, CA 95242",2bed,1.5bath,918sqft,"8,712sqft lot"
https://www.realtor.com/realestateandhomes-detail/2140-Woods-Creek-Ct_Gold-River_CA_95670_M17303-22662,"$849,990 ","2140 Woods Creek Ct, Gold River, CA 95670",4bed,2bath,"2,392sqft",0.35acre lot
https://www.realtor.com/realestateandhomes-detail/2470-Central-Park-Dr_Lodi_CA_95242_M24186-48832,"$599,000 ","2470 Central Park Dr, Lodi, CA 95242",2bed,2bath,"1,926sqft","5,070sqft lot"
https://www.realtor.com/realestateandhomes-detail/3711-Indian-Way_San-Diego_CA_92117_M18090-54073,"$799,000 ","3711 Indian Way, San Diego, CA 92117",3bed,2bath,"1,216sqft","5,070sqft lot"
https://www.realtor.com/realestateandhomes-detail/1994-Sillick-Ter_Santa-Rosa_CA_95404_M10104-04724,"$659,000 ","1994 Sillick Ter, Santa Rosa, CA 95404",3bed,2bath,"1,012sqft",0.3acre lot
https://www.realtor.com/realestateandhomes-detail/1994-Sillick-Ter_Santa-Rosa_CA_95404_M10104-04724,"$659,000 ","1994 Sillick Ter, Santa Rosa, CA 95404",3bed,2bath,"1,012sqft",0.3acre lot
https://www.realtor.com/realestateandhomes-detail/18318-Rayen-St_Northridge_CA_91325_M21164-00485,"$638,000 ","18318 Rayen St, Northridge, CA 91325",3bed,3bath,"1,626sqft",0.51acre lot
https://www.realtor.com/realestateandhomes-detail/332-Missouri-St_San-Francisco_CA_94107_M20747-49269,"$1,999,000 ","332 Missouri St, San Francisco, CA 94107",2bed,2bath,"1,596sqft","2,495sqft lot"
https://www.realtor.com/realestateandhomes-detail/1910-Tonja-Way_Santa-Rosa_CA_95401_M14449-96997,"$629,900 ","1910 Tonja Way, Santa Rosa, CA 95401",3bed,2bath,"1,699sqft","6,839sqft lot"
https://www.realtor.com/realestateandhomes-detail/1515-14th-Ave-Apt-304_Oakland_CA_94606_M19154-19663,"$375,000 ","1515 14th Ave Apt 304, Oakland, CA 94606",1bed,1bath,636sqft,"8,901sqft lot"
https://www.realtor.com/realestateandhomes-detail/1857-Jicarilla-Dr_South-Lake-Tahoe_CA_96150_M15744-94527,"$749,000 ","1857 Jicarilla Dr, South Lake Tahoe, CA 96150",3bed,2bath,"1,888sqft",0.4acre lot
https://www.realtor.com/realestateandhomes-detail/1901-S-Cadiz-Cir_Palm-Springs_CA_92264_M11028-81429,"$1,525,000 ","1901 S Cadiz Cir, Palm Springs, CA 92264",3bed,3.5bath,"2,382sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/817-Fresno-Ave_Santa-Rosa_CA_95407_M23456-64323,"$599,000 ","817 Fresno Ave, Santa Rosa, CA 95407",3bed,2bath,"1,440sqft","5,049sqft lot"
https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-1216_Sacramento_CA_95835_M20656-24675,"$360,000 ","1900 Danbrook Dr Unit 1216, Sacramento, CA 95835",2bed,2bath,"1,193sqft","5,049sqft lot"
https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-1216_Sacramento_CA_95835_M20656-24675,"$360,000 ","1900 Danbrook Dr Unit 1216, Sacramento, CA 95835",2bed,2bath,"1,193sqft","5,049sqft lot"
https://www.realtor.com/realestateandhomes-detail/2874-Beaver-Ave_Simi-Valley_CA_93065_M27543-87490,"$669,000 ","2874 Beaver Ave, Simi Valley, CA 93065",3bed,2bath,"1,244sqft","7,300sqft lot"
https://www.realtor.com/realestateandhomes-detail/2045-Humboldt-Ave_Davis_CA_95616_M11177-56349,"$665,000 ","2045 Humboldt Ave, Davis, CA 95616",3bed,2.5bath,"1,593sqft","7,305sqft lot"
https://www.realtor.com/realestateandhomes-detail/343-Ballymore-Cir_San-Jose_CA_95136_M17218-72312,"$949,000 ","343 Ballymore Cir, San Jose, CA 95136",4bed,3bath,"1,568sqft","3,528sqft lot"
https://www.realtor.com/realestateandhomes-detail/53700-Avenida-Madero_La-Quinta_CA_92253_M24019-12175,"$725,000 ","53700 Avenida Madero, La Quinta, CA 92253",4bed,2bath,"1,951sqft","7,405sqft lot"
https://www.realtor.com/realestateandhomes-detail/33786-Rye-Ter_Fremont_CA_94555_M26971-34161,"$1,395,000 ","33786 Rye Ter, Fremont, CA 94555",4bed,2.5bath,"2,086sqft","4,129sqft lot"
https://www.realtor.com/realestateandhomes-detail/72975-Somera-Rd_Palm-Desert_CA_92260_M96566-87262,"$1,995,000 ","72975 Somera Rd, Palm Desert, CA 92260",4bed,3.5bath,"3,163sqft",0.23acre lot
https://www.realtor.com/realestateandhomes-detail/1475-Benito-Ave_Burlingame_CA_94010_M11921-36908,"$3,500,000 ","1475 Benito Ave, Burlingame, CA 94010",4bed,3.5bath,"2,860sqft","5,734sqft lot"
https://www.realtor.com/realestateandhomes-detail/1475-Benito-Ave_Burlingame_CA_94010_M11921-36908,"$3,500,000 ","1475 Benito Ave, Burlingame, CA 94010",4bed,3.5bath,"2,860sqft","5,734sqft lot"
https://www.realtor.com/realestateandhomes-detail/Oak-Hills_CA_92344_M12081-22377,"$750,000 ",,4bed,3bath,"2,785sqft",2.28acre lot
https://www.realtor.com/realestateandhomes-detail/Victorville_CA_92395_M24589-61960,"$465,000 ",,3bed,2.5bath,"2,309sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M91579-40804,"$19,500 ",,3bed,1.5bath,"2,309sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M91579-40804,"$19,500 ",,3bed,1.5bath,"2,309sqft",0.24acre lot
https://www.realtor.com/realestateandhomes-detail/Apple-Valley_CA_92308_M17976-40545,"$425,000 ",,3bed,2.5bath,"1,789sqft",0.46acre lot
https://www.realtor.com/realestateandhomes-detail/Oak-Hills_CA_92344_M17920-24760,"$660,000 ",,3bed,2.5bath,"2,883sqft",2.26acre lot
https://www.realtor.com/realestateandhomes-detail/Victorville_CA_92395_M22702-47228,"$350,000 ",,4bed,2bath,"1,303sqft",0.47acre lot
https://www.realtor.com/realestateandhomes-detail/934-S-Orange-St_Turlock_CA_95380_M13230-44980,"$365,000 ","934 S Orange St, Turlock, CA 95380",3bed,2bath,"1,634sqft","8,999sqft lot"
https://www.realtor.com/realestateandhomes-detail/Hesperia_CA_92345_M22950-77718,"$509,900 ",,4bed,2bath,"2,358sqft",0.29acre lot
https://www.realtor.com/realestateandhomes-detail/69-Marin-Valley-Dr_Novato_CA_94949_M17258-85444,"$349,000 ","69 Marin Valley Dr, Novato, CA 94949",2bed,2bath,"1,440sqft",0.29acre lot
https://www.realtor.com/realestateandhomes-detail/8612-Tucana-Ave_Bakersfield_CA_93306_M24157-28057,"$275,500 ","8612 Tucana Ave, Bakersfield, CA 93306",3bed,2bath,"1,174sqft","7,405sqft lot"
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M99679-24496,"$18,500 ",,2bed,1.5bath,"1,174sqft","7,405sqft lot"
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M99679-24496,"$18,500 ",,2bed,1.5bath,"1,174sqft","7,405sqft lot"
https://www.realtor.com/realestateandhomes-detail/47551-Road-630_Oakhurst_CA_93644_M12040-06155,"$354,000 ","47551 Road 630, Oakhurst, CA 93644",1bed,2bath,836sqft,"4,148sqft lot"
https://www.realtor.com/realestateandhomes-detail/San-Bernardino_CA_92407_M20166-42706,"$615,000 ",,4bed,3.5bath,"2,793sqft",0.25acre lot
https://www.realtor.com/realestateandhomes-detail/2009-Kent-Dr_Bakersfield_CA_93306_M28913-02380,"$248,500 ","2009 Kent Dr, Bakersfield, CA 93306",3bed,2bath,"1,392sqft","8,900sqft lot"
https://www.realtor.com/realestateandhomes-detail/2580-S-Sierra-Vista-Ave_Fresno_CA_93725_M17881-69218,"$295,000 ","2580 S Sierra Vista Ave, Fresno, CA 93725",3bed,2bath,"1,582sqft","6,000sqft lot"
https://www.realtor.com/realestateandhomes-detail/7436-Madera-Pl_Rohnert-Park_CA_94928_M24065-32846,"$479,000 ","7436 Madera Pl, Rohnert Park, CA 94928",3bed,2.5bath,"1,277sqft","1,742sqft lot"
https://www.realtor.com/realestateandhomes-detail/22840-Sterling-Ave-Spc-35_Palm-Springs_CA_92262_M14253-52584,"$145,000 ","22840 Sterling Ave Spc 35, Palm Springs, CA 92262",3bed,2bath,"1,188sqft",1acre lot
