Link,Price,Address,CA,Bedroom,Bathroom,Size,Lot,Garage Spaces,Source Property Type,Year Built,Levels or Stories,County,Pool Features:
https://www.realtor.com/realestateandhomes-detail/345-Pioneer-Dr-Unit-303_Glendale_CA_91203_M24097-75105,610000,"345 Pioneer Dr Unit 303, Glendale, CA 91203",CA 91203,2,1.5,1279,87556,37, Condominium,1988,, Los Angeles,"Pool Features: Pool Descriptions: Association Pool, Heated and Filtered, Lap Pool, Pool Construction: In Ground"
https://www.realtor.com/realestateandhomes-detail/868-Gladiola-Dr_Sunnyvale_CA_94086_M27696-06302,1888800,"868 Gladiola Dr, Sunnyvale, CA 94086",CA 94086,3,2,1736,6783,2, Single Family,1965,1, Santa Clara,None
https://www.realtor.com/realestateandhomes-detail/10537-Sherrill-St_Anaheim_CA_92804_M14265-34550,1962000,"10537 Sherrill St, Anaheim, CA 92804",CA 92804,9,5,5382,12632,5, Quadruplex,1977, Two, Orange,None
https://www.realtor.com/realestateandhomes-detail/18847-Covello-St_Reseda_CA_91335_M19337-52031,799900,"18847 Covello St, Reseda, CA 91335",CA 91335,4,3,2093,6378,, Single Family Residence,1956, One, Los Angeles,Pool Features: Private
https://www.realtor.com/realestateandhomes-detail/997-Crestview-Dr_San-Carlos_CA_94070_M25893-69709,2999000,"997 Crestview Dr, San Carlos, CA 94070",CA 94070,4,2.5,3580,9990,2, Single Family,1980,2, San Mateo,None
https://www.realtor.com/realestateandhomes-detail/10101-Gaynor-Ave_North-Hills_CA_91343_M12917-66564,784999,"10101 Gaynor Ave, Granada Hills, CA 91343",CA 91343,4,2,1774,8083,2, Single Family Residence,1953, One, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/28729-Conejo-View-Dr_Agoura-Hills_CA_91301_M19851-53138,495000,"28729 Conejo View Dr, Agoura Hills, CA 91301",CA 91301,2,2,981,203425,, Townhouse,1975, Two, Los Angeles,"Pool Features: Pool Description: Association Pool, Pool Construction: In Ground"
https://www.realtor.com/realestateandhomes-detail/5130-W-141st-St_Hawthorne_CA_90250_M28808-67182,759000,"5130 W 141st St, Hawthorne, CA 90250",CA 90250,2,1,807,5802,1, Single Family Residence,1951,1, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/313-California-St-Unit-C_Arcadia_CA_91006_M29516-85068,749000,"313 California St Unit C, Arcadia, CA 91006",CA 91006,3,2.5,1396,35284,2, Townhouse,1985, Three Or More, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/2250-Via-Maderos_Los-Altos_CA_94024_M21366-58790,3598000,"2250 Via Maderos, Los Altos, CA 94024",CA 94024,4,2.5,2468,16988,2, Single Family,1962,1, Santa Clara,None
https://www.realtor.com/realestateandhomes-detail/27632-Deerfield-Ln_Valencia_CA_91354_M10233-13629,800000,"27632 Deerfield Ln, Valencia, CA 91354",CA 91354,3,3,1724,5366,2, Single Family Residence,1996, Two, Los Angeles,Pool Features: Association
https://www.realtor.com/realestateandhomes-detail/12745-N-Watt-Ln-Unit-A_Sylmar_CA_91342_M94490-79019,630000,"12745 N Watt Ln Unit A, Sylmar, CA 91342",CA 91342,5,4,1920,5366,2, Townhouse,2018, Three Or More, Los Angeles,"Pool Features: Association, Fenced"
https://www.realtor.com/realestateandhomes-detail/13097-Mueller-Dr-2159_Groveland_CA_95321_M95229-22817,310000,"13097 Mueller Drs Units 2 & 159, Groveland, CA 95321",CA 95321,3,1.5,1178,19602,, Single Family,1976,2, Tuolumne,None
https://www.realtor.com/realestateandhomes-detail/16870-Elm-St_Hesperia_CA_92345_M11589-02443,649000,"16870 Elm St, Hesperia, CA 92345",CA 92345,4,3.5,4503,35719,6, Single Family Residence,1979, One, San Bernardino,"Pool Features: Private, Indoor"
https://www.realtor.com/realestateandhomes-detail/1069-Berne-Dr_Crestline_CA_92325_M14583-45511,480000,"1069 Berne Dr, Crestline, CA 92325",CA 92325,3,2,2050,18295,1, Single Family Residence,1998, Two, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/8554-Burnet-Ave-Unit-101_North-Hills_CA_91343_M21752-85413,579900,"8554 Burnet Ave Unit 101, North Hills, CA 91343",CA 91343,3,3,1537,137650,2, Single Family Residence,2003, Two, Los Angeles,"Pool Features: Association, In Ground"
https://www.realtor.com/realestateandhomes-detail/26001-28th-St_San-Bernardino_CA_92404_M10462-32825,430000,"26001 28th St, San Bernardino, CA 92404",CA 92404,3,2,1763,10019,2, Single Family Residence,1961, One, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/519-W-Taylor-St-Spc-221_Santa-Maria_CA_93458_M19531-33867,149000,"519 W Taylor St Spc 221, Santa Maria, CA 93458",CA 93458,3,2,1536,10019,2, Double Wide,1982,, Santa Barbara,Pool Features: Community
https://www.realtor.com/realestateandhomes-detail/18880-Springwood-Ln_Perris_CA_92570_M16850-09568,648000,"18880 Springwood Ln, Perris, CA 92570",CA 92570,4,2,2106,40946,3, Single Family Residence,1984, One, Riverside,None
https://www.realtor.com/realestateandhomes-detail/7520-Tokay-Ave_Fontana_CA_92336_M21597-98525,575000,"7520 Tokay Ave, Fontana, CA 92336",CA 92336,4,3,2230,8000,3, Single Family Residence,1993, Two, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/11568-Bunker-Pl_Beaumont_CA_92223_M14229-09298,528000,"11568 Bunker Pl, Beaumont, CA 92223",CA 92223,4,3,1974,5227,2, Single Family Residence,2005, Two, Riverside,None
https://www.realtor.com/realestateandhomes-detail/7775-Outpost-Rd_Oak-Hills_CA_92344_M11629-18789,1100000,"7775 Outpost Rd, Oak Hills, CA 92344",CA 92344,4,3,3504,87120,3, Single Family Residence,2008, One, San Bernardino,"Pool Features: Private, In Ground"
https://www.realtor.com/realestateandhomes-detail/542-Highland-Rd_Big-Bear-Lake_CA_92315_M17597-63826,443000,"542 Highland Rd, Big Bear, CA 92315",CA 92315,1,1,440,7205,, Single Family Residence,1946, One, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/29189-Sparkling-Dr_Menifee_CA_92584_M28056-32655,495000,"29189 Sparkling Dr, Menifee, CA 92584",CA 92584,2,2,2316,7841,2, Single Family Residence,2002, One, Riverside,"Pool Features: Association, Community, In Ground"
https://www.realtor.com/realestateandhomes-detail/338-Red-River-Rd_Palm-Desert_CA_92211_M13470-62467,597000,"338 Red River Rd, Palm Desert, CA 92211",CA 92211,3,3.5,3049,4356,2, Condominium,1984, One, Riverside,Pool Features: Association
https://www.realtor.com/realestateandhomes-detail/16796-Pasquale-Rd_Nevada-City_CA_95959_M95276-79844,149000,"16796 Pasquale Rd, Nevada City, CA 95959",CA 95959,3,2,1850,21780,2, Single Family Residence,,2, Nevada,None
https://www.realtor.com/realestateandhomes-detail/1-Ramona-Way_Mission-Hills_CA_91345_M20261-00733,195000,"1 Ramona Way, Mission Hills, CA 91345",CA 91345,3,2,1296,21780,2,,2013,, Los Angeles,Pool Features: Community
https://www.realtor.com/realestateandhomes-detail/32920-Joshua-Ave_Acton_CA_93510_M11027-19587,1249000,"32920 Joshua Ave, Acton, CA 93510",CA 93510,3,3,2388,145926,, Single Family Residence,1984,2, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/12160-Jackson-Rd_Sloughhouse_CA_95683_M11954-00199,480000,"12160 Jackson Rd, Sloughhouse, CA 95683",CA 95683,4,2.5,2214,305791,2, Single Family Residence,1963,1, Sacramento,None
https://www.realtor.com/realestateandhomes-detail/192-S-Sun-St_Santa-Nella_CA_95322_M97145-98196,130000,"192 S Sun St, Santa Nella, CA 95322",CA 95322,2,1,600,3271,, Mobile Home,,1, Merced,None
https://www.realtor.com/realestateandhomes-detail/303-W-2nd-St_Imperial_CA_92251_M25541-91942,249900,"303 W 2nd St, Imperial, CA 92251",CA 92251,2,2,1596,6795,1,,1942,1, IMPERIAL,None
https://www.realtor.com/realestateandhomes-detail/356-W-Magnolia-St_Brawley_CA_92227_M19725-03475,264900,"356 W Magnolia St, Brawley, CA 92227",CA 92227,3,2,1120,6752,1,,1963,1, IMPERIAL,None
https://www.realtor.com/realestateandhomes-detail/5654-Cody-Dr_Ione_CA_95640_M16673-33498,274900,"5654 Cody Dr, Ione, CA 95640",CA 95640,4,2,1708,4443,2, Manufactured Home,2003,1, Amador,Pool Features: Pool Type: Common Facility
https://www.realtor.com/realestateandhomes-detail/3709-Station-St_Sacramento_CA_95827_M11061-92656,419000,"3709 Station St, Sacramento, CA 95827",CA 95827,3,2,1143,8499,, Single Family Residence,1977,1, Sacramento,None
https://www.realtor.com/realestateandhomes-detail/10980-E-Woodbridge-Rd_Acampo_CA_95220_M95301-28490,2750000,"10980 E Woodbridge Rd, Acampo, CA 95220",CA 95220,3,4,3493,813701,3, Single Family Residence,2008,1, San Joaquin,"Pool Features: Pool Type: Built-In, Fenced, Solar Heat"
https://www.realtor.com/realestateandhomes-detail/4125-McHenry-Ave-Spc-121_Modesto_CA_95356_M93058-09448,70000,"4125 McHenry Ave Spc 121, Modesto, CA 95356",CA 95356,2,2,1120,3049,, Mobile,1973,, Stanislaus,None
https://www.realtor.com/realestateandhomes-detail/309-N-Orange-St_Turlock_CA_95380_M17224-98618,289000,"309 N Orange St, Turlock, CA 95380",CA 95380,1,1,572,3751,1, Single Family Residence,1929,1, Stanislaus,None
https://www.realtor.com/realestateandhomes-detail/6382-E-Morada-Ln_Stockton_CA_95212_M29625-11145,799000,"6382 E Morada Ln, Stockton, CA 95212",CA 95212,3,3,2699,23522,2, Single Family Residence,1955,1, San Joaquin,None
https://www.realtor.com/realestateandhomes-detail/3725-Whispering-Creek-Cir_Stockton_CA_95219_M20878-68103,395000,"3725 Whispering Creek Cir, Stockton, CA 95219",CA 95219,3,2,1217,4025,2, Single Family Residence,1994,2, San Joaquin,None
https://www.realtor.com/realestateandhomes-detail/1028-Farnham-Ave_Woodland_CA_95776_M28978-49997,450000,"1028 Farnham Ave, Woodland, CA 95776",CA 95776,3,2,1034,4356,2, Single Family Residence,1997,1, Yolo,None
https://www.realtor.com/realestateandhomes-detail/8186-Heflin-Ct_Sacramento_CA_95828_M10775-09253,495000,"8186 Heflin Ct, Sacramento, CA 95828",CA 95828,4,3,1830,12197,2, Single Family Residence,1979,2, Sacramento,None
https://www.realtor.com/realestateandhomes-detail/3760-N-Kilroy-Rd_Turlock_CA_95382_M26971-89862,649800,"3760 N Kilroy Rd, Turlock, CA 95382",CA 95382,5,3,2845,7257,3, Single Family,2003,2, Stanislaus,None
https://www.realtor.com/realestateandhomes-detail/1421-E-D-St_Oakdale_CA_95361_M18105-20774,399500,"1421 E D St, Oakdale, CA 95361",CA 95361,3,2,1345,5998,2, Single Family Residence,1980,1, Stanislaus,None
https://www.realtor.com/realestateandhomes-detail/30-E-Cherry-Creek-Rd_Cloverdale_CA_95425_M24798-43178,529000,"30 E Cherry Creek Rd, Cloverdale, CA 95425",CA 95425,3,1,1167,10454,2, Single Family Residence,1973,1, Sonoma,None
https://www.realtor.com/realestateandhomes-detail/5507-Squire-Wells-Way_Riverbank_CA_95367_M23419-13334,540000,"5507 Squire Wells Way, Riverbank, CA 95367",CA 95367,4,2.5,1935,6116,2, Single Family Residence,2003,2, Stanislaus,"Pool Features: Pool Type: Built-In, On Lot, Pool Sweep, Salt Water, Gunite Construction"
https://www.realtor.com/realestateandhomes-detail/5067-Sienna-Ln_Sacramento_CA_95835_M16725-23582,785000,"5067 Sienna Ln, Sacramento, CA 95835",CA 95835,4,3,2732,7536,3, Single Family Residence,2003,1, Sacramento,Pool Features: Pool Type: Common Facility
https://www.realtor.com/realestateandhomes-detail/33522-Wildwing-Dr_Woodland_CA_95695_M11357-11166,749000,"33522 Wildwing Dr, Woodland, CA 95695",CA 95695,3,2.5,2708,8712,3, Single Family Residence,2005,2, Yolo,"Pool Features: Pool Type: Built-In, On Lot, Gunite Construction, Solar Heat"
https://www.realtor.com/realestateandhomes-detail/896-Rutledge-Dr_Lodi_CA_95242_M28378-64791,249000,"896 Rutledge Dr, Lodi, CA 95242",CA 95242,2,1.5,918,8712,, Condominium,1972,2, San Joaquin,"Pool Features: Pool: Yes, Pool Type: In Ground"
https://www.realtor.com/realestateandhomes-detail/2140-Woods-Creek-Ct_Gold-River_CA_95670_M17303-22662,849990,"2140 Woods Creek Ct, Gold River, CA 95670",CA 95670,4,2,2392,15246,3, Single Family Residence,1992,1, Sacramento,"Pool Features: Pool Type: Built-In, Solar Heat"
https://www.realtor.com/realestateandhomes-detail/2470-Central-Park-Dr_Lodi_CA_95242_M24186-48832,599000,"2470 Central Park Dr, Lodi, CA 95242",CA 95242,2,2,1926,5070,2, Single Family Residence,1992,1, San Joaquin,Pool Features: Pool Type: Common Facility
https://www.realtor.com/realestateandhomes-detail/3711-Indian-Way_San-Diego_CA_92117_M18090-54073,799000,"3711 Indian Way, San Diego, CA 92117",CA 92117,3,2,1216,5070,, Detached,1954,1, San Diego,None
https://www.realtor.com/realestateandhomes-detail/1994-Sillick-Ter_Santa-Rosa_CA_95404_M10104-04724,659000,"1994 Sillick Ter, Santa Rosa, CA 95404",CA 95404,3,2,1012,13068,2, Single Family Residence,1996,1, Sonoma,None
https://www.realtor.com/realestateandhomes-detail/18318-Rayen-St_Northridge_CA_91325_M21164-00485,638000,"18318 Rayen St, Northridge, CA 91325",CA 91325,3,3,1626,22216,2, Condominium,2004, Two, Los Angeles,None
https://www.realtor.com/realestateandhomes-detail/332-Missouri-St_San-Francisco_CA_94107_M20747-49269,1999000,"332 Missouri St, San Francisco, CA 94107",CA 94107,2,2,1596,2495,, Single Family Residence,1904,, San Francisco,None
https://www.realtor.com/realestateandhomes-detail/1910-Tonja-Way_Santa-Rosa_CA_95401_M14449-96997,629900,"1910 Tonja Way, Santa Rosa, CA 95401",CA 95401,3,2,1699,6839,2, Single Family Residence,1982,1, Sonoma,None
https://www.realtor.com/realestateandhomes-detail/1515-14th-Ave-Apt-304_Oakland_CA_94606_M19154-19663,375000,"1515 14th Ave Apt 304, Oakland, CA 94606",CA 94606,1,1,636,8901,, Condominium,2004,, Alameda,None
https://www.realtor.com/realestateandhomes-detail/1857-Jicarilla-Dr_South-Lake-Tahoe_CA_96150_M15744-94527,749000,"1857 Jicarilla Dr, South Lake Tahoe, CA 96150",CA 96150,3,2,1888,17424,2, Single Family Residence,1981,2, El Dorado,None
https://www.realtor.com/realestateandhomes-detail/1901-S-Cadiz-Cir_Palm-Springs_CA_92264_M11028-81429,1525000,"1901 S Cadiz Cir, Palm Springs, CA 92264",CA 92264,3,3.5,2382,10454,2, Single Family Residence,1970,1, Riverside,"Pool Features: Location: Private, Pool Description: Heated, In Ground, Private"
https://www.realtor.com/realestateandhomes-detail/817-Fresno-Ave_Santa-Rosa_CA_95407_M23456-64323,599000,"817 Fresno Ave, Santa Rosa, CA 95407",CA 95407,3,2,1440,5049,2, Single Family Residence,2011,1, Sonoma,None
https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-1216_Sacramento_CA_95835_M20656-24675,360000,"1900 Danbrook Dr Unit 1216, Sacramento, CA 95835",CA 95835,2,2,1193,5049,1, Condominium,2005,1, Sacramento,Pool Features: Pool Type: On Lot
https://www.realtor.com/realestateandhomes-detail/2874-Beaver-Ave_Simi-Valley_CA_93065_M27543-87490,669000,"2874 Beaver Ave, Simi Valley, CA 93065",CA 93065,3,2,1244,7300,2, Single Family Residence,1964, Ground Level, Ventura,None
https://www.realtor.com/realestateandhomes-detail/2045-Humboldt-Ave_Davis_CA_95616_M11177-56349,665000,"2045 Humboldt Ave, Davis, CA 95616",CA 95616,3,2.5,1593,7305,2, Halfplex,1989,2, Yolo,None
https://www.realtor.com/realestateandhomes-detail/343-Ballymore-Cir_San-Jose_CA_95136_M17218-72312,949000,"343 Ballymore Cir, San Jose, CA 95136",CA 95136,4,3,1568,3528,2, Townhouse,1997,2, Santa Clara,"Pool Features: Cabana / Dressing Room, Community Facility, Pool - In Ground, Spa - Jetted"
https://www.realtor.com/realestateandhomes-detail/53700-Avenida-Madero_La-Quinta_CA_92253_M24019-12175,725000,"53700 Avenida Madero, La Quinta, CA 92253",CA 92253,4,2,1951,7405,3, Single Family Residence,2004,1, Riverside,Pool Features: In Ground
https://www.realtor.com/realestateandhomes-detail/33786-Rye-Ter_Fremont_CA_94555_M26971-34161,1395000,"33786 Rye Ter, Fremont, CA 94555",CA 94555,4,2.5,2086,4129,, Single Family Residence,1984,, Alameda,None
https://www.realtor.com/realestateandhomes-detail/72975-Somera-Rd_Palm-Desert_CA_92260_M96566-87262,1995000,"72975 Somera Rd, Palm Desert, CA 92260",CA 92260,4,3.5,3163,10019,2, Single Family Residence,2021,1, Riverside,"Pool Features: Location: Private, Pool Description: In Ground"
https://www.realtor.com/realestateandhomes-detail/1475-Benito-Ave_Burlingame_CA_94010_M11921-36908,3500000,"1475 Benito Ave, Burlingame, CA 94010",CA 94010,4,3.5,2860,5734,, Single Family Residence,1997,2, San Mateo,None
https://www.realtor.com/realestateandhomes-detail/Oak-Hills_CA_92344_M12081-22377,750000,,,4,3,2785,99317,4, Single Family Residence,2004,1, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/Victorville_CA_92395_M24589-61960,465000,,,3,2.5,2309,10454,2, Single Family Residence,1984,2, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M91579-40804,19500,,,3,1.5,2309,10454,, Manufactured In Park,,, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/Apple-Valley_CA_92308_M17976-40545,425000,,,3,2.5,1789,20038,4, Single Family Residence,1986,1, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/Oak-Hills_CA_92344_M17920-24760,660000,,,3,2.5,2883,98446,3, Single Family Residence,2005,1, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/Victorville_CA_92395_M22702-47228,350000,,,4,2,1303,20473,3, Single Family Residence,1958,1, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/934-S-Orange-St_Turlock_CA_95380_M13230-44980,365000,"934 S Orange St, Turlock, CA 95380",CA 95380,3,2,1634,8999,, Single Family Residence,1960,1, Stanislaus,None
https://www.realtor.com/realestateandhomes-detail/Hesperia_CA_92345_M22950-77718,509900,,,4,2,2358,12632,3, Single Family Residence,1996,1, San Bernardino,Pool Features: In Ground
https://www.realtor.com/realestateandhomes-detail/69-Marin-Valley-Dr_Novato_CA_94949_M17258-85444,349000,"69 Marin Valley Dr, Novato, CA 94949",CA 94949,2,2,1440,12632,, Double Wide,1969,, Marin,None
https://www.realtor.com/realestateandhomes-detail/8612-Tucana-Ave_Bakersfield_CA_93306_M24157-28057,275500,"8612 Tucana Ave, Bakersfield, CA 93306",CA 93306,3,2,1174,7405,2, Single Family Residence,2012,1, Kern,None
https://www.realtor.com/realestateandhomes-detail/Barstow_CA_92311_M99679-24496,18500,,,2,1.5,1174,7405,, Manufactured In Park,,, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/47551-Road-630_Oakhurst_CA_93644_M12040-06155,354000,"47551 Road 630, Oakhurst, CA 93644",CA 93644,1,2,836,4148,, Single Family Residence,1923, Three Or More, Madera,None
https://www.realtor.com/realestateandhomes-detail/San-Bernardino_CA_92407_M20166-42706,615000,,,4,3.5,2793,10890,2, Single Family Residence,2005,1, San Bernardino,None
https://www.realtor.com/realestateandhomes-detail/2009-Kent-Dr_Bakersfield_CA_93306_M28913-02380,248500,"2009 Kent Dr, Bakersfield, CA 93306",CA 93306,3,2,1392,8900,2, Single Family Residence,1958,1, Kern,None
https://www.realtor.com/realestateandhomes-detail/2580-S-Sierra-Vista-Ave_Fresno_CA_93725_M17881-69218,295000,"2580 S Sierra Vista Ave, Fresno, CA 93725",CA 93725,3,2,1582,6000,, Single Family Residence,1979,1, Fresno,None
https://www.realtor.com/realestateandhomes-detail/7436-Madera-Pl_Rohnert-Park_CA_94928_M24065-32846,479000,"7436 Madera Pl, Rohnert Park, CA 94928",CA 94928,3,2.5,1277,1742,2, Townhouse,1993,2, Sonoma,"Pool Features: Pool: Yes, Pool: Built-In, Common Facility"
https://www.realtor.com/realestateandhomes-detail/22840-Sterling-Ave-Spc-35_Palm-Springs_CA_92262_M14253-52584,145000,"22840 Sterling Ave Spc 35, Palm Springs, CA 92262",CA 92262,3,2,1188,43560,,,2019,1, Riverside,"Pool Features: Community, Fenced, In Ground"
