https://www.realtor.com/realestateandhomes-detail/807-E-Kaweah-Ave_Visalia_CA_93292_M24541-81281,279000,"807 E Kaweah Ave, Visalia, CA 93292",CA 93292,3,2,"1,442",8100,Bedrooms: 3,Master Bedroom Level: Lower,Total Bathrooms: 2.00,Full Bathrooms: 2,Bathroom 1 Features: Tub/Shower,Laundry Features: In Garage,Number of Fireplaces: 1,Central Heat & Cool,Flooring: Floor: Wood Sub Floor,Patio And Porch Features: Covered,Lot Dimensions Source: SqFt,Lot Size Acres: 0.1859504,Lot Size Square Feet: 8100,Association: No,Calculated Total Monthly Association Fees: 0,Association Name: Fresno MLS,Source Listing Status: Active,County: Tulare,Source Property Type: Single Family Residence,Area: 292,Source Neighborhood: 292,Parcel Number: 097111018,Source System Name: C2C,Total Square Feet Living: 1442.00,Year Built: 1961,Construction Materials: Stucco,Property Age: 60,Roof: Composition,Levels or Stories: 1,Sewer: Public Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/31820-McWade-Ave_Homeland_CA_92548_M14208-08557,369000,"31820 McWade Ave, Homeland, CA 92548",CA 92548,2,1.5,"1,173",13068,Bedrooms: 2,Bedrooms On Main Level: 3,Total Bathrooms: 2,Full Bathrooms: 1,1/2 Bathrooms: 1,Bathrooms On Main Level: 2,Kitchen Appliances: Range Hood,Appliances YN: Y,Laundry Features: Outside,All Bedrooms Down,Cooling Features: Wall/Window Unit(s),Breakfast Room Description: Area,Kitchen Features: Remodeled Kitchen,Flooring: Tile,"Patio And Porch Features: Patio YN: Y, Patio And Porch Features: Enclosed, Porch",Road Frontage Type: Country Road,Road Surface Type: Paved,Lot Description: Lot 10000-19999 Sqft,Lot Size Acres: 0.3,Lot Size Source: Assessor,Lot Size Square Feet: 13068,Garage Spaces: 1,Garage Description: Detached,Parking Total: 7,View: View: Y,School District: Romoland,Calculated Total Monthly Association Fees: 0,Community Features: Rural,Source Listing Status: Active,County: Riverside,Directions: Highway 74 and Olson Ave,Source Property Type: Single Family Residence,Area: SRCAR - Southwest Riverside County,Source Neighborhood: SRCAR - Southwest Riverside County,Parcel Number: 459182005,Postal Code Plus 4: 9489,Zoning: R-R,Source System Name: C2C,Total Square Feet Living: 1173.00,Year Built: 1964,Common Walls: No Common Walls,"Construction Materials: Concrete, Drywall Walls, Stucco",Living Area Source: Assessor,Property Age: 57,Levels or Stories: One,Building Total Stories: 1,Year Built Source: Assessor,Architectural Style: Single Family Residence,Sewer: Septic Type Unknown,Electricity Connected,Natural Gas Connected,Water Connected,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/4575-Kreuer-Rd_Phelan_CA_92371_M17609-99900,647111,"4575 Kreuer Rd, Phelan, CA 92371",CA 92371,4,4,"4,076",100623.6,Bedrooms: 4,Total Bathrooms: 4.00,Full Bathrooms: 4,Range,Oven,Dishwasher,Disposal,Microwave,Trash Compactor,Refrigerator,Washer,Dryer,"Laundry Features: In House, Separate Room, With Storage","Cooling Features: Central Air, Ducted Evaporative","Fireplace Features: Family Room Fireplace, Pellet Stove","Heating Features: Solar, Forced Air","Dining Room Description: Formal Dining Area, Formal Dining Room",Flooring: Combination,Window Features: Part,"Extra Room-1 Description: Den, Office",Family Room Description: Yes,Attached Garage: Yes,Detached Garage Carport: No,Garage Spaces: 5,RV Parking Features: Yes,Uncovered Spaces: 8,Fencing: Chain Link,"Patio And Porch Features: Patio, Covered Patio",Roads: Dirt Road,"Landscaping: Front, Sprinklers",Lot Description: Standard Location,Lot Dimensions Source: SqFt,Lot Size Acres: 2.31,Lot Size Dimensions: 2.310 acres,Lot Size Source: (Assessor),Topography: Level,Lot Size Square Feet: 100623,"View: Mountain, Desert, Trees",Other Equipment: Natural Gas,Existing Lease Type: Net,Association: No,Calculated Total Monthly Association Fees: 0,Fire Sprinklers,Garage Door Opener,Pantry,Security Alarm,Storage Shed,Wet Bar,Work Shop,Source Listing Status: Active,County: San Bernardino,Cross Street: Monte Vista Rd,"Directions: Phelan Rd to Johnson, left on Chevoit Rd, left on Monte Vista Rd, right on Kreuer Rd.","Disclaimer: All information deemed reliable, but not guaranteed",Source Property Type: Single Family Residence,Area: California,Source Neighborhood: California,Parcel Number: 3098131080000,Postal Code Plus 4: 9654,Zoning: Residential 1,Property Subtype: Single Family Residence,Source System Name: C2C,Total Square Feet Living: 4076.00,Year Built: 2006,Building Exterior Type: Stucco,Construction Materials: Frame,Living Area Source: Assessor,Property Age: 15,Roof: Composition,Levels or Stories: 1,Sewer: Septic Tank,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/3400-Sullivan-Ct-Apt-122_Modesto_CA_95356_M24419-92169,234000,"3400 Sullivan Ct Apt 122, Modesto, CA 95356",CA 95356,2,2,"1,030",1198,Bedrooms: 2,"Laundry Facilities: Stacked Only, Inside Area",Cooling Features: Central,Fireplace Features: Living Room,Heating Features: Central,Number of Fireplaces: 1,Full Bathrooms: 2,"Bathroom 1 Features: Shower Stall(s), Tub w/Shower Over",Dining Room Description: Breakfast Nook,Kitchen Features: Synthetic Counter,"Flooring: Carpet, Laminate",Pool Features: Pool Type: Pool House,Lot Description: Gated Community,Lot Size Acres: 0.0275,Lot Size Units: Acres,Lot Size Square Feet: 1198,"Garage Description: Assigned, Covered, Guest Parking Available",Pool,Clubhouse,Spa/Hot Tub,Tennis Courts,Association: Yes,Association Fee: 431,Association Fee Frequency: Monthly,"Association Fee Includes: Common Areas, Pool, Recreation Facility, Roof, Sewer, Trash, Water, Maintenance Exterior, Maintenance Grounds, Management",Calculated Total Monthly Association Fees: 431,School District: Stanislaus,Source Listing Status: Active,County: Stanislaus,Cross Street: Sisk Road,Directions: Sisk Road to Sullivan.,Source Property Type: Condominium,Area: Modesto No of Briggsmore W/McHen,Property Subtype: condo,Source Neighborhood: 20101,Parcel Number: 076-029-022-000,Postal Code Plus 4: 0513,Zoning: R1,Property Subtype: Attached,Source System Name: C2C,Electric: 220 Volts,Sewer: In & Connected,All Electric,Water Source: Public,Year Built: 1981,"Construction Materials: Stucco, Frame","Foundation Details: Concrete, Slab",Living Area Source: Assessor Auto-Fill,Property Age: 40,Roof: Roof Description:Composition,Levels or Stories: 1,"Security Features: Carbon Mon Detector, Smoke Detector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/7266-San-Luis-St_Carlsbad_CA_92011_M18628-53863,219000,"7266 San Luis St, Carlsbad, CA 92011",CA 92011,2,2,"1,440",3500,Bedrooms: 2,Total Bathrooms: 2,Full Bathrooms: 2,Bathroom 1 Features: Granite Counters,Ceiling Fan(s),Copper Plumbing Partial,Crown Molding,Recessed Lighting,Tile Counters,Wood Product Walls,Door Features: Mirror Closet Door(s),"Flooring: Laminate, Carpet, Vinyl",Window Features: Double Pane Windows,"Kitchen Applicances: Dishwasher, Electric Range, Free-Standing Range, Disposal, Gas Water Heater, Microwave, Range Hood, Refrigerator, Vented Exhaust Fan, Water Heater",Appliances YN: Y,"Laundry Features: Dryer Included, Individual Room, Washer Hookup, Washer Included, Gas Dryer Hookup","Family Room, Kitchen, Laundry, Living Room, Main Floor Bedroom, Main Floor Master Bedroom, Master Bathroom",Exercise Room: Yes,Cooling Features: Central Air,"Heating Features: Central, Forced Air, Natural Gas",Heating: Yes,"Kitchen Features: Kitchen Island, Tile Counters",Awning(s),Rain Gutters,"Fencing: Fence YN: Y, Fencing: Partial",Other Structures: Shed(s),"Patio And Porch Features: Patio YN: Y, Patio And Porch Features: Arizona Room, Covered, Front Porch",Road Frontage Type: Private Road,Road Surface Type: Paved,"Pool Features: Community, Gunite, Heated, Gas Heat, In Ground","Spa Features: Gunite, Heated, In Ground",Spa: Yes,Land Lease Amount: 2000.00,Land Lease Amount Frequency: Monthly,Land Lease: Yes,"Lot Description: 0-1 Unit/Acre, Level, Yard",Lot Size Acres: 0.0803489,Lot Size Source: Estimated,Lot Size Square Feet: 3500,Carport Spaces: 3,Mobile Length: 60,Mobile Width: 24,Skirt: Aluminum,"Association Amenities: Barbecue, Billiard Room, Bocce Ball Court, Card Room, Clubhouse, Common RV Parking, Controlled Access, Fire Pit, Gym/Ex Room, Lake or Pond, Meeting Room, Pet Rules, Pets Permitted, Picnic Area, Pool, Recreation Room, Sauna, Security, Spa/Hot Tub",Calculated Total Monthly Association Fees: 0,"Pets Allowed: Breed Restrictions, Cats OK, Dogs OK, Number Limit, Size Limit",Senior Community: Yes,School District: Carlsbad Unified,"Community Features: Gutters, Storm Drains, Street Lights",Rent Includes: Pool,Source Listing Status: Active,County: San Diego,Source Property Type: Double Wide,Area: 92011 - Carlsbad,Source Neighborhood: 92011 - Carlsbad,Parcel Number: 7721417679,Park Name: Lakeshore Gardens,Serial U: A20493,Serial X: B20493,Non Deeded: Yes,Source System Name: C2C,License 1: 229720,License 2: 229719,Total Square Feet Living: 1440.00,Year Built: 1976,Construction Materials: Aluminum Siding,Direction Faces: South,Foundation Details: Pier Jacks,Levels: One,Living Area Source: Public Records,Property Age: 45,Property Condition: Updated/Remodeled,Roof: Composition,"Electric: 220 Volts, Standard",Sewer: Public Sewer,Cable Available,Natural Gas Available,Electricity Connected,Water Source: Public,No Interior Steps,Ramp - Main Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/121-Via-Grande_Olivehurst_CA_95961_M10118-04718,55000,"121 Via Grande, Olivehurst, CA 95961",CA 95961,2,1,720,3180,Bedrooms: 2,Cooling Features: Wall Unit(s),Full Bathrooms: 1,Bathroom 1 Features: Tub w/Shower Over,Dining Area Description: Dining Bar,"Flooring: Carpet, Laminate",Living Room Description: Deck Attached,Make: Fleetwood,Mobile Length: 152,Mobile Width: 21,Model: 1562K,Skirt: Wood,Land Lease Amount: 597,"Lot Description: Landscape Back, Landscape Front",Lot Size Acres: 0.073,Lot Size Square Feet: 3180,"Garage Description: On Street, Covered, Unassigned",Association: No,Calculated Total Monthly Association Fees: 0,Elementary School District: Marysville Joint,High School District: Marysville Joint,School District: Yuba,Middle or Junior School District: Marysville Joint,"Rent Includes: Trash Collections, Water",Source Listing Status: Active,County: Yuba,Cross Street: Via Rancho,Directions: Head South on HWY65 Take McGowan Exit West Towards HWY70. Turn Right on Via Novato Then Immediate Right on Via Grande Continue on Until Property on Left.,Source Property Type: Mobile,Area: 12409,Source Neighborhood: 12409,Parcel Number: 910-000-127-000,Park Name: Villa Seville Mh Prk,Non Deeded: Yes,Property Subtype: Mobile,Source System Name: C2C,Total Square Feet Living: 720,Year Built: 1977,Living Area Source: Owner,Property Age: 44,House Style: Single Wide,Electric: 220 Volts in Kitchen,Sewer: Public Sewer,All Public,Water Source: Public,"Security Features: Carbon Mon Detector, Smoke Detector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/18128-Sundowner-Way-Unit-1137_Canyon-Country_CA_91387_M20086-04236,355000,"18128 Sundowner Way Unit 1137, Santa Clarita, CA 91387",CA 91387,2,2,843,140263.2,Bedrooms: 2,Total Bathrooms: 2.00,Full Bathrooms: 2,Microwave,Convection Oven,"Laundry Facilities: In Closet, In Unit","Living Room, Dining Area",Cooling Features: Central,Heating Features: Central,Water Heaters: Water Heater Unit,Furnished Description: Unfurnished,"Flooring: Carpet, Laminate",Pool Features: Association Pool,Lot Size Acres: 3.2156,Lot Size Units: Vendor Enhanced,Lot Size Square Feet: 140072,Garage Spaces: 2,Garage Description: Garage Is Detached,Parking Total: 2,"View: City Lights, Hills","Other Equipment: Ceiling Fan, Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer","Security Features: Carbon Monoxide Detector(s), Smoke Detector",Pool,Association: Yes,Association Fee: 352,Association Fee Frequency: Monthly,Calculated Total Monthly Association Fees: 352,Pets Allowed: Call For Rules,Number of Units: 748,Source Listing Status: Active,County: Los Angeles,Directions: Sierra Hwy to Dolan Way make a Right. Sundowner Way Make a Left. Unit on the Left. Google Map.,Source Property Type: Condominium,Area: Canyon Country 2,Property Subtype: condo,Source Neighborhood: Canyon Country 2,Parcel Number: 2844-030-114,Postal Code Plus 4: 5434,Zoning: SCUR5,Property Subtype: Condominium,Source System Name: C2C,Total Square Feet Living: 843,Year Built: 1985,Building Name: Amer. Beauty Condos,Common Walls: Attached,Entry Level: 1,Levels: One,Living Area Source: Vendor Enhanced,Property Age: 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/3113-Atlantic-Ave-Unit-7_Long-Beach_CA_90807_M21954-19478,399900,"3113 Atlantic Ave Unit 7, Long Beach, CA 90807",CA 90807,1,2,765,49222.8,Bedrooms: 1,Total Bathrooms: 2,Full Bathrooms: 2,Bathrooms On Main Level: 1,"All Bedrooms Up, Office","Laundry Features: Gas & Electric Dryer Hookup, Inside, Stackable",Cooling Features: Central Air,Fireplace Features: Fireplace: Y,Heating Features: Central,Heating: Yes,"Pool Features: Private, Association, Fenced, In Ground",Lot Size Acres: 1.1282,Lot Size Source: Assessor,Lot Size Square Feet: 49143,Garage Spaces: 1,Garage Description: Attached,Parking Total: 1,View: View: Y,Association: Yes,"Association Amenities: Pool, Spa/Hot Tub, Picnic Area",Association Fee: 229,Association Fee Frequency: Monthly,Calculated Total Monthly Association Fees: 229,School District: Long Beach Unified,"Community Features: Dog Park, Park, Suburban",Source Listing Status: Active,County: Los Angeles,"Directions: 405 N exit Atlantic Ave. South, Right on east 31st st",Source Property Type: Townhouse,"Area: 6 - Bixby, Bixby Knolls, Los Cerritos",Property Subtype: townhouse,Source Neighborhood: Bixby Knolls (BK),Parcel Number: 7207018036,Postal Code Plus 4: 5063,Subdivision: Bixby Knolls (BK),Zoning: LBR34,Source System Name: C2C,Total Square Feet Living: 765.00,Year Built: 1981,"Common Walls: 2+ Common Walls, End Unit, No One Above, No One Below",Living Area Source: Assessor,Property Age: 40,Property Attached: Yes,Levels or Stories: Two,Year Built Source: Assessor,Architectural Style: Townhouse,Sewer: Public Sewer,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/30000-Kasson-Rd-Spc-287_Tracy_CA_95304_M92879-99996,430000,"300000 Kasson Rd Unit 287, Tracy, CA 95304",CA 95304,2,1,"1,500",8712,Bedrooms: 2,Baths Other,Laundry Facilities: Sink,"Cooling Features: Ceiling Fan(s), Central",Fireplace Features: Wood Burning,Heating Features: Central,Number of Fireplaces: 1,Full Bathrooms: 1,Bathroom 1 Features: Tub,Dining Room Description: Formal Area,Kitchen Features: Breakfast Area,"Flooring: Carpet, Tile","Lot Description: Navigable Waterway, Curb(s)/Gutter(s)",Lot Size Acres: 0.2,Lot Size Units: Acres,Lot Size Square Feet: 8712,Road Responsibility: Private Maintained Road,Open Parking Spaces: 2,Association: No,Calculated Total Monthly Association Fees: 0,School District: San Joaquin,Source Listing Status: Active,County: San Joaquin,Cross Street: HWY J4,"Directions: By Vessel from Monterey take the pacific ocean north to the bay of San Francisco go northwest into the San Pablo bay then east into the Suisun bay, and keep heading east down the San Joaquin river, pass Stockton, French camp and Lathrop into Tracy until you hit the SJ river club on your right side, dock your boat and walk over past the chapel to Evergreen Way until Acacia circle .",Source Property Type: Single Family Residence,Area: New Jerusalem South East of Trac,Source Neighborhood: 20606,Parcel Number: 920-114-01,Zoning: ag40,Property Subtype: Detached,Source System Name: C2C,Electric: 220 Volts,Sewer: Septic System,All Public,Water Source: Shared Well,Construction Materials: Vinyl Siding,Foundation Details: Raised,Living Area Source: Owner,Property Condition: Updated/Remodeled,Roof: Roof Description:Flat,Levels or Stories: 1,Security Features: Smoke Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/31-Sembrio-St_Ladera-Ranch_CA_92694_M28589-87608,809990,"31 Sembrio St, Rancho Mission Viejo, CA 92694",CA 92694,3,2.5,"1,738",43560,Bedrooms: 3,Total Bathrooms: 3,Full Bathrooms: 2,1/2 Bathrooms: 1,Bathrooms On Main Level: 1,"All Bedrooms Up, Kitchen, Laundry, Living Room",Exercise Room: Yes,"Laundry Features: Individual Room, Upper Level","Cooling Features: Central Air, Dual","Pool Features: Association, Community",Lot Size Acres: 1.0,Lot Size Square Feet: 43560,Garage Spaces: 2,Garage Description: Attached,Parking Total: 2,Association: Yes,"Association Amenities: Pool, Spa/Hot Tub, Outdoor Cooking Area, Picnic Area, Playground, Dog Park, Sport Court, Biking Trails, Hiking Trails, Gym/Ex Room, Clubhouse",Association Fee: 189,Association Fee Frequency: Monthly,Association Fee 2: 240,Calculated Total Monthly Association Fees: 429,School District: Capistrano Unified,"Community Features: Biking, Curbs, Dog Park, Hiking, Park, Sidewalks",Source Listing Status: Active,County: Orange,"Directions: From Ortega highway , left on Reata",Source Property Type: Townhouse,Area: SEND - Sendero,Property Subtype: townhouse,Source Neighborhood: Other (OTHR),Parcel Number: 93057133,Postal Code Plus 4: 1822,Subdivision: Other (OTHR),Source System Name: C2C,Total Square Feet Living: 1738.00,Year Built: 2013,Common Walls: 1 Common Wall,Living Area Source: Assessor,Property Age: 8,Property Attached: Yes,Levels or Stories: Two,Year Built Source: Assessor,Architectural Style: Townhouse,Sewer: Sewer Paid,Water Source: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/37-Tamarindo-Way-Unit-2_Chula-Vista_CA_91911_M29340-44642,410000,"37 Tamarindo Way Unit 2, Chula Vista, CA 91911",CA 91911,3,1.5,"1,164",None,Bedrooms: 3,Total Bathrooms: 2,Full Bathrooms: 1,1/2 Bathrooms: 1,Bathrooms On Main Level: 1,Kitchen Appliances: Electric Range,Appliances YN: Y,Laundry Features: Outside,"All Bedrooms Up, Laundry","Pool Features: Association, Community",Carport Spaces: 1,"Parking Features: Parking YN: Y, Parking Features: Assigned, Carport",Parking Total: 2,Lot Size Source: Assessor,Association: Yes,Association Amenities: Pool,Association Fee: 270,Association Fee Frequency: Monthly,Calculated Total Monthly Association Fees: 270,School District: Sweetwater Union,Community Features: Street Lights,Source Listing Status: Active,County: San Diego,"Directions: Orange ave, to Hilltop to Tamarindo",Source Property Type: Condominium,Area: 91911 - Chula Vista,Property Subtype: condo,Source Neighborhood: 91911 - Chula Vista,Parcel Number: 6232717254,Zoning: Zoning Code: R-1:Single F,Source System Name: C2C,Total Square Feet Living: 1164.00,Year Built: 1973,Common Walls: 2+ Common Walls,Entry Level: 1,Living Area Source: Assessor,Property Age: 48,Property Attached: Yes,Levels or Stories: Two,Building Total Stories: 2,Year Built Source: Assessor,Architectural Style: Condominium,Sewer: Public Sewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/8742-Spring-Canyon-Dr_Spring-Valley_CA_91977_M17002-43819,390000,"8742 Spring Canyon Dr, Spring Valley, CA 91977",CA 91977,2,2.5,"1,088",None,Bedrooms: 2,Master Bedroom Dimensions: 17 x 16,Bedroom 2 Dimensions: 17 x 13,Total Bathrooms: 3,Full Bathrooms: 2,1/2 Bathrooms: 1,2 Staircases,Balcony,Bathtub,Ceiling Fan,Granite Counters,Shower,Door Features: Entry Level Unit: 1,"Flooring: Tile, Parquet","Dining Area, Loft, Master Bdrm 2, Kitchen, Living Room, Master Bedroom, Laundry, Master Bathroom",Living Room Dimensions: 17 x 12,9x10,Dining Room Description: 13x9,"Laundry Features: Laundry Location: Closet Stacked, Laundry Utilities: Electric, Gas",Fireplace Features: Fireplace: FP in Living Room,Heating Features: Forced Air Unit,Heating Fuel: Natural Gas,Number of Fireplaces: 1,"Pool Features: Below Ground, Community/Common, Heated","Spa Features: Community/Common, Heated","Fencing: Full, Vinyl, Wood","Frontage Type: Canyon, Open Space","Patio And Porch Features: Balcony, Patio",Lot Description: 0 (Common Interest),Topography: Level,Garage Spaces: 1,"Garage Description: Detached, Garage - Single Door",Open Parking Spaces: 1,"Parking Features: Assigned, Guest Parking",Parking Total: 2,"View: Valley/Canyon, Pool","Other Equipment: Equipment: Dishwasher, Disposal, Dryer, Microwave, Refrigerator, Washer, Freezer, Gas Range, Counter Top, Gas Cooking",Association: Yes,"Association Amenities: Club House, Pool",Association Fee: 479,Association Fee Frequency: Monthly,"Association Fee Includes: Common Area Maintenance, Exterior (Landscaping), Exterior Bldg Maintenance, Gated Community, Roof Maintenance, Sewer, Trash Pickup, Water",Calculated Total Monthly Association Fees: 479,Pets Allowed: Y,Pet Features: Allowed w/Restrictions,Number of Units: 78,High School: Sweetwater Union High School District,"Community Features: Biking/Hiking Trails, Clubhouse/Rec Room, Pool, Spa/Hot Tub",Source Listing Status: ACTIVE,County: San Diego,Ownership: Condominium,Source Property Type: All Other Attached,Area: East County,Property Subtype: condo,Source Neighborhood: La Presa,Parcel Number: 586-190-52-49,Park Name: Spring Canyon,Subdivision: SPRING VALLEY,Timeshare: No,Source System Name: C2C,Total Square Feet Living: 1088,Year Built: 1986,Building Exterior Type: Stucco,Levels: Stories: 3 Story,Property Age: 35,Roof: Composition,Levels or Stories: 2,Structure Type: RESIDENTIAL,Walls: Drywall,"Sewer: Sewer Connected, Public Sewer","Water Source: Water: Public, Water District: SWEETWATER AUTHORITY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/39-Waterfront-Ct_Copperopolis_CA_95228_M13150-81288,1688000,"39 Waterfront Ct, Copperopolis, CA 95228",CA 95228,4,3,"2,753",12196.8,Bedrooms: 4,Master Bedroom Features: Walk-In Closet,Total Bathrooms: 3.00,Full Bathrooms: 3,"Master Bathroom Features: Double Sinks, Walk-In Closet","Bathroom 1 Features: Shower Stall(s), Tub",Decorator Lights,Open Floor Plan,"Flooring: Carpet, Tile",Window Features: Dual Pane Full,Disposal,Microwave,"Laundry Features: Cabinets, Dryer Included, Inside Room, Washer Included",Kitchen Nook,Breakfast Area,Tile Counter,Dining Room Features: Formal Room,"Cooling Features: Ceiling Fan(s), Central, MultiUnits","Fireplace Features: Gas Log, Living Room","Heating Features: Fireplace(s), Gas, Propane",Number of Fireplaces: 1,"Family Room Features: Deck Attached, View, Cathedral/Vaulted","Living Room Features: Cathedral/Vaulted, Deck Attached, View",Outdoor Lights,Fencing: Fenced Yard,"Frontage Type: Lakefront, Waterfront",Patio And Porch Features: Covered Patio,Spa: Yes,"Lot Description: Cul-De-Sac, Lake Access, Landscape Back, Waterfront",Lot Size Acres: 0.28,Topography: Level,Lot Size Square Feet: 12197,Driveway: Paved Driveway,Garage Spaces: 4,"Parking Features: Attached, Boat Dock, Garage Door Opener, Garage Facing Front, Tandem Garage","View: Lake, Mountains",Existing Lease Type: Net,Association: Yes,Association Fee: 120,Association Fee Frequency: Monthly,Calculated Total Monthly Association Fees: 120,Association Name: Peninsula Estates,Pet Description: Yes,"School District: Bret Harte, Mark Twain",Source Listing Status: Active,County: Calaveras,Cross Street: Sanguinetti Drive,Elevation: 550,Area: Copperopolis,Source Neighborhood: Peninsula Estates,Parcel Number: 061053008000,Subdivision: Peninsula Estates,Zoning: R1-Single Family,Property Subtype: Single Family Reside,Source System Name: C2C,"Sewer: Public Sewer, Sewer Connected",All Public,Cable Connected,Internet Available,Water Source: Public,Construction Materials: Stucco,Property Age: 20,Roof: Tile,Levels or Stories: Two,House Style: Contemporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/2459-Diamond-St_Rosamond_CA_93560_M12636-38543,599999,"2459 Diamond St, Rosamond, CA 93560",CA 93560,8,4,"2,688",7841,Bedrooms: 8,Total Bathrooms: 4.00,Full Bathrooms: 4,Cooling Features: Central Air/Refrig,Heating Features: Central Heat/Gas,Lot Size Acres: 0.18,Lot Size Square Feet: 7841,Parking Total: 8,Number of Units: 4,Number of 2 Bedroom Units: 4,Source Listing Status: Active,County: Kern,Cross Street: Orange,"Directions: 14 Frwy, exit Ave A, make right, go north on 20th Street West, right on Orange St, right on Diamond to property.",Area: 16 - Rosamond to Backus,Source Neighborhood: 16 - Rosamond to Backus,Parcel Number: 258-100-11,Zoning: R-3,Source System Name: C2C,Total Square Feet Living: 2688.00,Year Built: 1987,"Construction Materials: Frame, Stucco, Wood",Property Age: 34,Roof: Composition,Structure Type: E,Electric: No Master,"Gas: Gas - Master: No Master, Gas - Individual: Has Individual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/2004-Olivia-Way_Stockton_CA_95209_M12230-45354,625000,"2004 Olivia Way, Stockton, CA 95209",CA 95209,4,3,"3,041",6970,Bedrooms: 4,"Laundry Facilities: Cabinets, Inside Room",Cooling Features: Central,Fireplace Features: Family Room,Heating Features: Central,Number of Fireplaces: 1,Full Bathrooms: 3,"Bathroom 1 Features: Shower Stall(s), Double Sinks","Dining Room Description: Breakfast Nook, Dining/Family Combo","Kitchen Features: Pantry Cabinet, Kitchen/Family Combo, Tile Counter","Flooring: Carpet, Linoleum, Tile, Vinyl",Living Room Features: Open Beam Ceiling,"Lot Description: Auto Sprinkler Front, Corner, Shape Regular, Street Lights",Lot Size Acres: 0.16,Lot Size Units: Acres,Lot Size Square Feet: 6970,Garage Spaces: 3,"Garage Description: Attached, Boat Storage, RV Access",Association: No,Calculated Total Monthly Association Fees: 0,School District: San Joaquin,Source Listing Status: Active,County: San Joaquin,Cross Street: Macon,"Directions: I-5 exit Eight Mile Rd going East, Turn Right on Davis, Right on Le baron, Right on Macon. House is in the corner corner Macon and Olivia Way.",Source Property Type: Single Family Residence,Area: Stockton Far NW,Source Neighborhood: 20708,Parcel Number: 070-430-30,Zoning: R-1,Property Subtype: Attached,Source System Name: C2C,Irrigation Source: Public District,Electric: 220 Volts,Sewer: Public Sewer,All Public,Water Source: Public,Year Built: 2003,"Construction Materials: Stucco, Frame, Wood",Foundation Details: Slab,Living Area Source: Assessor Auto-Fill,Property Age: 18,Roof: Roof Description:Tile,Levels or Stories: 2,Security Features: Carbon Mon Detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
